1/1/2010,15080
1/2/2010,15080
1/3/2010,14960
1/4/2010,14890
1/5/2010,14890
1/6/2010,14890
1/7/2010,14750
1/8/2010,14920
1/9/2010,14990
1/10/2010,14860
1/11/2010,14770
1/12/2010,14770
1/13/2010,14770
1/14/2010,14770
1/15/2010,14910
1/16/2010,14910
1/17/2010,14860
1/18/2010,15090
1/19/2010,15090
1/20/2010,15090
1/21/2010,15300
1/22/2010,15330
1/23/2010,15200
1/24/2010,15210
1/25/2010,15270
1/26/2010,15270
1/27/2010,15270
1/28/2010,15410
1/29/2010,15150
1/30/2010,15420
1/31/2010,15450
2/1/2010,15400
2/2/2010,15400
2/3/2010,15400
2/4/2010,15360
2/5/2010,15080
2/6/2010,15080
2/7/2010,14960
2/8/2010,14890
2/9/2010,14890
2/10/2010,14890
2/11/2010,14750
2/12/2010,14920
2/13/2010,14990
2/14/2010,14860
2/15/2010,14770
2/16/2010,14770
2/17/2010,14770
2/18/2010,14770
2/19/2010,14910
2/20/2010,14910
2/21/2010,14860
2/22/2010,15090
2/23/2010,15090
2/24/2010,15090
2/25/2010,15300
2/26/2010,15330
2/27/2010,15200
2/28/2010,15210
3/1/2010,15270
3/2/2010,15270
3/3/2010,15270
3/4/2010,15410
3/5/2010,15150
3/6/2010,15420
3/7/2010,15450
3/8/2010,15400
3/9/2010,15400
3/10/2010,15400
3/11/2010,15360
3/12/2010,15080
3/13/2010,15080
3/14/2010,14960
3/15/2010,14890
3/16/2010,14890
3/17/2010,14890
3/18/2010,14750
3/19/2010,14920
3/20/2010,14990
3/21/2010,14860
3/22/2010,14770
3/23/2010,14770
3/24/2010,14770
3/25/2010,14770
3/26/2010,14910
3/27/2010,14910
3/28/2010,14860
3/29/2010,15090
3/30/2010,15090
3/31/2010,15090
4/1/2010,15300
4/2/2010,15330
4/3/2010,15200
4/4/2010,15210
4/5/2010,15270
4/6/2010,15270
4/7/2010,15270
4/8/2010,15410
4/9/2010,15150
4/10/2010,15420
4/11/2010,15450
4/12/2010,15400
4/13/2010,15400
4/14/2010,15400
4/15/2010,15360
4/16/2010,15080
4/17/2010,15080
4/18/2010,14960
4/19/2010,14890
4/20/2010,14890
4/21/2010,14890
4/22/2010,14750
4/23/2010,14920
4/24/2010,14990
4/25/2010,14860
4/26/2010,14770
4/27/2010,14770
4/28/2010,14770
4/29/2010,14770
4/30/2010,14910
5/1/2010,14910
5/2/2010,14860
5/3/2010,15090
5/4/2010,15090
5/5/2010,15090
5/6/2010,15300
5/7/2010,15330
5/8/2010,15200
5/9/2010,15210
5/10/2010,15270
5/11/2010,15270
5/12/2010,15270
5/13/2010,15410
5/14/2010,15150
5/15/2010,15420
5/16/2010,15450
5/17/2010,15400
5/18/2010,15400
5/19/2010,15400
5/20/2010,15360
5/21/2010,15080
5/22/2010,15080
5/23/2010,14960
5/24/2010,14890
5/25/2010,14890
5/26/2010,14890
5/27/2010,14750
5/28/2010,14920
5/29/2010,14990
5/30/2010,14860
5/31/2010,14770
6/1/2010,14770
6/2/2010,14770
6/3/2010,14770
6/4/2010,14910
6/5/2010,14910
6/6/2010,14860
6/7/2010,15090
6/8/2010,15090
6/9/2010,15090
6/10/2010,15300
6/11/2010,15330
6/12/2010,15200
6/13/2010,15210
6/14/2010,15270
6/15/2010,15270
6/16/2010,15270
6/17/2010,15410
6/18/2010,15150
6/19/2010,15420
6/20/2010,15450
6/21/2010,15400
6/22/2010,15400
6/23/2010,15400
6/24/2010,15360
6/25/2010,15080
6/26/2010,15080
6/27/2010,14960
6/28/2010,14890
